neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price_log
2,64,40.72681,-73.98534000000001,0,3,67,1.31,1,51,5.3612921657094255
2,119,40.71904,-73.99391999999999,1,1,109,1.11,3,364,4.564348191467836
1,214,40.71031,-73.9583,0,2,9,0.11,1,254,4.948759890378168
2,94,40.81322,-73.95306,0,6,187,1.87,1,189,4.912654885736052
1,151,40.67732,-73.98225,0,2,214,2.08,2,263,5.017279836814924
1,85,40.68076,-73.9896,0,3,69,0.79,2,258,5.25227342804663
2,61,40.79603,-73.94903000000001,0,28,22,0.26,1,103,4.8283137373023015
1,214,40.71492,-73.96282,0,30,56,0.56,1,42,4.912654885736052
2,130,40.80393,-73.95838,1,3,93,0.93,1,246,4.812184355372417
2,202,40.80082,-73.9652,1,1,104,1.05,2,364,4.700480365792417
2,94,40.82976,-73.94866999999999,1,30,64,0.68,1,318,4.454347296253507
1,13,40.683,-73.91981,0,3,127,1.25,2,72,4.983606621708336
2,202,40.78971,-73.9729,0,11,30,0.32,1,249,5.278114659230517
1,31,40.67817,-73.99495,0,2,106,1.34,3,272,5.5254529391317835
1,91,40.731190000000005,-73.95578,1,3,6,0.1,1,325,4.836281906951478
2,115,40.719429999999996,-73.99627,0,2,191,1.88,1,298,6.3561076606958915
2,202,40.78,-73.98249,0,30,48,0.55,1,35,5.017279836814924
1,28,40.70514,-73.91922,1,5,47,0.49,1,203,4.2626798770413155
2,103,40.867129999999996,-73.92811,1,2,120,1.27,1,132,4.51085950651685
2,64,40.73198,-73.98881,1,3,52,0.63,1,5,4.189654742026425
2,64,40.72542,-73.97986,0,2,48,0.48,4,297,6.2166061010848646
2,206,40.83494,-73.93869000000001,0,3,32,0.43,2,276,5.5254529391317835
2,35,40.716590000000004,-73.98945,0,25,43,0.42,1,102,4.836281906951478
2,209,40.729659999999996,-74.00243,0,30,39,0.44,1,251,5.303304908059076
1,91,40.72898,-73.95551999999999,0,1,50,0.5,1,188,5.438079308923196
0,111,40.87207,-73.90193000000001,0,30,4,0.35,2,346,4.51085950651685
2,202,40.77728,-73.97818000000001,0,13,38,0.39,1,0,4.709530201312334
1,91,40.726459999999996,-73.95340999999999,1,3,29,0.36,1,15,4.0943445622221
1,214,40.71015,-73.96101,0,4,59,0.6,1,71,5.278114659230517
1,214,40.71903,-73.9597,0,1,68,0.67,2,215,5.135798437050262
2,61,40.80892,-73.93985,0,14,26,0.27,3,253,4.736198448394496
2,94,40.80276,-73.9567,0,14,31,0.31,1,78,5.5254529391317835
3,4,40.77635,-73.93426,0,2,198,2.01,1,257,4.7535901911063645
1,91,40.72488,-73.95018,1,2,1,0.01,1,0,4.02535169073515
1,214,40.71398,-73.95763000000001,1,2,220,2.17,2,8,4.248495242049359
2,119,40.718759999999996,-73.98394,0,3,286,2.81,1,191,5.017279836814924
1,182,40.66552,-73.99019,0,2,398,3.97,3,182,5.135798437050262
1,91,40.73749,-73.95291999999999,1,3,36,0.36,28,79,5.19295685089021
2,95,40.76248,-73.9913,1,3,36,0.36,1,49,5.017279836814924
1,19,40.68674,-73.98876,0,4,6,0.1,1,0,4.912654885736052
1,41,40.6848,-73.96219,0,6,14,0.3,1,156,5.860786223465865
1,214,40.70516,-73.95455,1,14,76,0.76,6,343,4.795790545596741
2,64,40.723290000000006,-73.98486,1,2,182,1.81,1,200,4.276666119016055
1,91,40.737759999999994,-73.95326999999999,1,3,8,0.09,28,60,5.857933154483459
1,91,40.73738,-73.95482,1,3,7,0.07,28,60,5.857933154483459
1,151,40.67542,-73.98142,0,30,34,0.51,2,189,5.111987788356544
1,91,40.73842,-73.95312,1,3,2,0.02,28,60,5.521460917862246
1,25,40.6926,-73.99831999999999,1,3,66,0.68,2,0,4.61512051684126
1,25,40.69441,-73.99771,0,3,80,0.85,2,106,5.303304908059076
2,64,40.72399,-73.98374,0,4,240,2.4,1,276,5.135798437050262
1,13,40.6824,-73.94615,0,3,46,1.07,1,248,5.225746673713202
1,28,40.68949,-73.91708,0,2,228,2.27,1,194,4.189654742026425
1,80,40.688190000000006,-73.97258000000001,0,35,5,0.05,1,135,4.875197323201151
1,214,40.7205,-73.96015,0,30,8,0.11,1,30,5.298317366548036
2,64,40.724509999999995,-73.98094,0,2,33,0.33,1,0,5.420534999272286
1,91,40.73813,-73.95394,1,3,13,0.14,28,81,5.19295685089021
1,51,40.675909999999995,-73.94715,0,5,5,0.05,1,0,5.017279836814924
2,64,40.728429999999996,-73.98895,0,1,388,3.88,1,142,4.941642422609304
2,198,40.712709999999994,-73.99776,1,3,223,2.22,2,60,4.564348191467836
1,51,40.66966,-73.94735,0,15,11,0.11,5,179,4.382026634673881
2,119,40.71965,-73.98765999999999,0,2,151,1.51,2,52,5.017279836814924
1,41,40.68613,-73.96536,0,5,0,1.3732214298586618,3,365,6.478509642208569
1,13,40.680479999999996,-73.94911,0,3,218,2.26,4,324,4.51085950651685
1,13,40.68314,-73.93963000000001,0,2,75,0.76,2,237,4.795790545596741
3,4,40.759609999999995,-73.91117,1,1,42,1.21,2,365,4.394449154672439
1,13,40.69305,-73.93185,0,2,370,3.74,1,204,5.170483995038151
1,51,40.67174,-73.95663,0,5,104,1.04,1,272,4.795790545596741
1,214,40.71055,-73.95098,0,7,13,0.13,1,0,4.948759890378168
1,13,40.69465,-73.95458,0,5,4,0.07,1,9,5.303304908059076
1,41,40.684129999999996,-73.96542,1,4,11,0.11,3,365,5.111987788356544
2,112,40.73877,-73.97707,0,4,1,0.01,3,181,4.836281906951478
2,34,40.74893,-73.99544,0,30,19,0.19,1,189,4.875197323201151
2,61,40.794059999999995,-73.94102,2,7,131,1.31,2,0,4.189654742026425
1,80,40.68795,-73.97332,0,30,15,0.15,1,189,4.820281565605037
2,206,40.85295,-73.93361,1,2,136,1.37,1,296,4.219507705176107
3,160,40.72413,-73.76133,1,1,43,0.45,1,88,3.9318256327243257
1,85,40.66918,-73.99186999999999,0,7,98,0.99,1,35,4.875197323201151
1,214,40.71125,-73.95613,1,3,31,0.31,1,0,4.61512051684126
